time,AmtofClaims,AnnualPremium,SumAssured
2,2000,2677,3354
4,2200,2866,3532
6,3500,4347,5194
8,6000,6456,6912
10,4100,4855,5610
12,4660,4977,5294
14,1800,1917,2034
16,4000,4418,4836
18,7100,7768,8436
20,8100,8548,8996
22,8000,8474,8948
24,4600,5098,5596
26,4300,4923,5546
28,3600,3947,4294
30,3100,3371,3642
32,2750,3095,3440
34,2150,2320,2490
36,6000,6600,7200
38,1700,2068,2436
40,7500,7922,8344
42,3110,3385,3660
44,1720,2032,2344
46,8020,8263,8506
48,9000,9106,9212
50,6700,6987,7274
52,2210,2582,2954
